idx,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Angular_X,Angular_Y,Angular_Z,Acceleration_X,Acceleration_Y,Acceleration_Z
58,0.0,1500,11.690999984741211,0.0,0.0,1500,0.0,0.0,0.0,0.34692317247390747,-0.08613264560699463,9.395636558532715,-0.0010657600359991193,0.0,-0.0005328800179995596
59,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.3756340444087982,-0.02392573468387127,9.405206680297852,-0.0005328800179995596,-0.0002664400089997798,-0.0005328800179995596
60,0.0,1500,11.678999900817871,0.0,0.0,1500,0.0,0.0,0.0,0.31821227073669434,-0.0813474953174591,9.429132461547852,-0.0005328800179995596,0.0007993200561031699,-0.0002664400089997798
61,0.0,1500,11.687000274658203,0.0,0.0,1500,0.0,0.0,0.0,0.3588860332965851,-0.011962867341935635,9.421954154968262,-0.0002664400089997798,0.0,-0.0007993200561031699
62,0.0,1500,11.687000274658203,0.0,0.0,1500,0.0,0.0,0.0,0.3325677216053009,-0.043066322803497314,9.407599449157715,-0.0013322000158950686,0.0007993200561031699,-0.0007993200561031699
63,0.0,1500,11.682000160217285,0.0,0.0,1500,0.0,0.0,0.0,0.34692317247390747,-0.07177720218896866,9.421954154968262,-0.0002664400089997798,-0.0005328800179995596,0.0002664400089997798
64,0.0,1500,11.682000160217285,0.0,0.0,1500,0.0,0.0,0.0,0.35649344325065613,-0.03828117623925209,9.469805717468262,-0.0007993200561031699,0.0002664400089997798,-0.0002664400089997798
65,0.0,1500,11.689000129699707,0.0,0.0,1500,0.0,0.0,0.0,0.35649344325065613,-0.057421762496232986,9.421954154968262,-0.0005328800179995596,0.0002664400089997798,-0.0005328800179995596
66,0.0,1500,11.689000129699707,0.0,0.0,1500,0.0,0.0,0.0,0.35410088300704956,-0.06220691278576851,9.441095352172852,-0.0013322000158950686,0.0,0.0005328800179995596
67,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.3660637438297272,-0.014355440624058247,9.441095352172852,-0.0007993200561031699,-0.0005328800179995596,-0.0002664400089997798
68,0.0,1500,11.680000305175781,0.0,0.0,1500,0.0,0.0,0.0,0.3206048607826233,-0.11245095729827881,9.359747886657715,-0.0010657600359991193,-0.0005328800179995596,0.0
69,0.0,1500,11.677000045776367,0.0,0.0,1500,0.0,0.0,0.0,0.35649344325065613,-0.07177720218896866,9.462628364562988,-0.0007993200561031699,0.0007993200561031699,0.0002664400089997798
