Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z,,Lin_X,0.035999999
2.877170205,1500,12.15200043,2.875973225,2.875973225,1500,0.234999999,0,-0.254000008,0.375634044,-0.385204345,8.290266991,-0.0159864,-0.01545352,0.01545352,,,
2.877170205,1500,12.15799999,2.875704765,2.875704765,1500,0.233999997,0,-0.221000001,0.851756155,0.638817132,8.534309387,0.02611112,-0.025045361,0.02584468,,,
2.877170205,1500,12.15799999,2.875704765,2.875704765,1500,0.230000004,0,-0.275999993,-0.14594698,-0.430663228,9.620537758,0.02104876,0.01438776,0.01039116,,,
2.877170205,1500,12.15799999,2.875704765,2.875704765,1500,0.231000006,0,-0.25,-0.423485518,0.332567722,8.25198555,-0.00053288,0.01545352,0.0213152,,,
2.877170205,1500,12.15799999,2.875704765,2.875704765,1500,0.238000005,0,-0.194999993,-0.322997421,0.126806393,9.505694389,-0.0213152,-0.00293084,0.00612812,,,
2.877170205,1500,12.15999985,2.876177788,2.876177788,1500,0.245000005,0,-0.064999998,-0.215331614,-0.337352872,10.26892567,-0.019983001,-0.017851481,0.027709762,,,
2.877170205,1500,12.15999985,2.876177788,2.876177788,1500,0.256000012,0,0.008,0.100488089,0.167480141,9.362139702,-0.00559524,-0.00026644,0.03223924,,,
2.877170205,1500,12.16699982,2.876143694,2.876143694,1500,0.256999999,0,0.050000001,-0.684276044,0.263183087,9.18748188,0.0093254,-0.01039116,0.02318028,,,
2.877170205,1500,12.16699982,2.876143694,2.876143694,1500,0.254999995,0,0.068000004,-0.31581971,0.224901915,9.278400421,-0.01438776,-0.044229042,0.017851481,,,
2.877170205,1500,12.16600037,2.875907421,2.875907421,1500,0.254000008,0,0.092,-0.126806393,-0.193798453,9.402813911,0.00772676,0.00639456,0.026377561,,,
