Reference,Throttle_Control,Servo_Control,Voltage,Throttle_A,Throttle_B,Servo,Linear_X,Linear_Y,Linear_Z,Acceleration_X,Acceleration_Y,Acceleration_Z,Angular_X,Angular_Y,Angular_Z
0.386855492,4.360915772,1500,12.60000038,4.354000092,4.354000092,1500,0.386861667,0,0.015,0.492870152,-1.358981729,8.993683815,-0.017052161,0.050357163,0.020249441
0.386855492,4.344027763,1500,12.60000038,4.364500046,4.364500046,1500,0.390908757,0,0.032000002,0.136376694,0.62206912,9.804766655,-0.048758522,-0.031706359,0.01838436
0.386855492,4.320711082,1500,12.60000038,4.366250038,4.366250038,1500,0.394504579,0,0.085000001,1.141257524,-0.095702939,8.673078537,-0.00692744,-0.015719961,0.038900241
0.386855492,4.300123664,1500,12.60000038,4.359250069,4.359250069,1500,0.39579374,0,-0.104999997,0.138769269,0.299071699,8.926692009,-0.017585041,-0.0373016,0.052222241
0.386855492,4.28857372,1500,12.60000038,4.343500137,4.343500137,1500,0.394243144,0,-0.245000005,0.567039907,0.421092927,10.44358349,0.00159864,-0.046094123,0.0159864
0.386855492,4.277463553,1500,12.60000038,4.319000244,4.319000244,1500,0.392848418,0,-0.333000004,-0.004785147,0.629246831,9.04871273,0.0186508,-0.00746032,0.061547641
0.386855492,4.271846999,1500,12.60000038,4.299750328,4.299750328,1500,0.390997278,0,-0.305000007,0.701024055,-0.990525424,8.374007225,-0.035969403,0.044495482,0.027176881
0.386855492,4.270770914,1500,12.60000038,4.287499905,4.287499905,1500,0.388992036,0,-0.375,0.143554404,-0.224901915,6.122595787,0.020249441,0.02158164,0.027443321
0.386855492,4.267847888,1500,12.60000038,4.27699995,4.27699995,1500,0.388272815,0,-0.287,-0.023925735,1.830318689,9.500909805,0.060748324,-0.056751721,0.025578242
0.386855492,4.271341014,1500,12.60000038,4.269999981,4.269999981,1500,0.386776401,0,-0.264999986,-0.035888601,0.634031951,10.47947216,0.020515881,0.00586168,0.00852608
0.386855492,4.278471362,1500,12.60000038,4.269999981,4.269999981,1500,0.385095919,0,-0.324000001,0.258397937,0.351708293,6.605895519,-0.006661,0.066343561,0.019450121
0.386855492,4.289492416,1500,12.60000038,4.266499996,4.266499996,1500,0.383362696,0,-0.31099999,1.268063903,0.363671184,7.787826538,-0.034637202,-0.033571441,0.0186508
0.386855492,4.302672497,1500,12.60000038,4.269999981,4.269999981,1500,0.381979699,0,-0.263000011,-0.634031951,-0.253612787,10.5512495,-0.0079932,0.014920641,0.030374162
0.386855492,4.316335513,1500,12.60000038,4.27699995,4.27699995,1500,0.381196363,0,-0.272000015,-0.133984119,0.172265291,9.008039474,-0.01092404,0.009058961,0.051955801
0.386855492,4.334540722,1500,12.60000038,4.287499905,4.287499905,1500,0.379937978,0,-0.264999986,0.2344722,-0.131591544,9.534405708,0.00026644,0.00346372,0.03250568
0.307582967,3.965156648,1500,12.60000038,4.30150032,4.30150032,1500,0.379823407,0,-0.272000015,0.813475013,-1.124509573,8.41707325,0.020249441,0.028775521,0.046627
0.307582967,3.865274979,1500,12.60000038,4.315500259,4.315500259,1500,0.379952819,0,-0.181999996,0.399559766,0.62206912,8.228060722,-0.057018161,0.083129279,0.034370761
0.307582967,3.699770716,1500,12.60000038,4.333000183,4.333000183,1500,0.38055996,0,-0.202000007,0.92353338,-1.406833172,9.113312721,-0.031706359,0.103911601,0.03756804
